Question,Answer,,,,,,
Can I run multiple Algo scripts simultaneously using Shoonya API?,"Yes, you can run multiple Algo scripts simultaneously. 
1. You must log in first Algo script to Shoonya and generate the “susertoken”. 
2. The subsequent Algo scripts must re-use the “susertoken” generated from the first Algo. Please find below the link for your reference - https://github.com/Shoonya-Dev/ShoonyaApi-py/blob/master/tests/test_multiple_sessions.py

Please note that logging in again while the session is active will terminate the previous session and begin a new session. So, login should be performed only once at the beginning of the day (after 8:30 AM). After that, the login session remains active till midnight unless you re-login using the API.",,,,,,
How can I stream live quotes of multiple scrips and FnO contracts in realtime?,"The recommended method to fetch live quotes or order updates for multiple scrips & FnO contracts is by using a running websocket feed. WebSocket connections are lightweight, perform well, and provide real-time quotes streaming. 
We advise you to refrain from using get_quotes for live data. It is inefficient and can degrade the performance of the Shoonya server.
Get Quote Limit is ten requests per second & 200 requests per minute.
Clients exceeding the above limit for get_quotes shall be temporarily blocked with an error.",,,,,,
Can I start multiple websocket connections with Shoonya API?,"No, the API supports only a single websocket connection at a time.",,,,,,
Should we re-subscribe the subscribed tokens in case of a websocket disconnection?,"Yes, maintaining a list of subscribed tokens and subscribing them from this list whenever a websocket connection is re-established is advised. If you do not re-subscribe the tokens, the feed data for the tokens from the websocket connection can be lost.",,,,,,
What is the recommended way to fetch the running PnL (M2M) in real time?,"It can be achieved by tracking the live prices of the open positions using a websocket. However, using get_positions in an infinite loop to fetch daily M2M is less reliable and harmful to the API performance. get_positions can be used sparingly, but for real-time m2m updates, websocket usage is advised, which gives the fastest, lightest and most reliable performance.",,,,,,
Can I log in to the Shoonya front-end application along with the API?,"Yes, we recommend you to log in and use our Shoonya front-end application on the mobile app, web or desktop along with the Shoonya API. You will get all our important notifications from the Shoonya front-end application. ",,,,,,
Can I perform testing on the production API environment?,"No, testing in the production API environment is not recommended or allowed due to company policies. However, we provide dedicated UAT testing environments for clients to safely test their integrations with our API. 
Additionally, Shoonya has the discretion to suspend or withdraw API services to anyone without any prior intimation or approval. ",,,,,,
"What is a trailing stop loss order, and is it available in the Shoonya API?","A trailing stop loss order is a risk management tool that automatically adjusts the stop price as the market price moves in a favourable direction. It helps protect profits and limit losses. 

No, currently, it is not available in Shoonya API.",,,,,,
What are the documents accepted as income proof ?,"The following documents are accepted as income proof :
A) 6 months' bank statement
B) 3 months' salary slips
C) Latest ITR (Income Tax Return)
D) DEMAT holding statement
E) Net worth certificate
F) Copy of Form 16",,,,,,
Which documents are accepted as proof of bank account?,"Documents accepted as proof of bank account are: 
A) Latest bank statement
B) Passbook
C) Cancelled cheque",,,,,,
How long does it take for the POA to be updated?,"Once we receive the duly signed POA document, the POA will be updated within 24 hours.
",,,,,,
What is KRA?,"KYC Registration Agency (KRA) is a SEBI registered agency that maintains investors' KYC records on behalf of the capital market intermediaries registered with SEBI. When you open an online account using your PAN and Aadhaar, we fetch client KYC information from the KRA system. ",,,,,,
Why do I need to fill the FATCA declaration form ?,"To comply with the Foreign Tax Compliance Act (FATCA), a deal that India has signed with the US for automatic exchange of financial information between the two nations about tax evaders, all account holders are required to fill this declaration form.
",,,,,,
How to open an account as an limited liability partnership?,"Limited liability partnership (LLP) accounts are opened offline. You can contact us through Live Chat, email us at contactus@shoonya.com or call us at Sales: +91 9098001001 if you wish to open an LLP account with us. Upon receiving the request, we will email the account opening form. Once you receive the form, you need to take the printout, fill it up, sign, and send it along with the required documents at the below address:

Finvasia Center, Plot no. D-179, Industrial Area, Sector 74, Sahibzada Ajit Singh Nagar, Punjab 160055",,,,,,
What are the documents required to open a limited liability partnership(LLP) account?,"Documents required to open a limited liability partnership(LLP) account are: 

1. Copy of company Pan card
2. Copy of Balance Sheet for last 2 Financial years  (In case of the new firm, provisional balance sheet for 1 year required with CA stamp & sign )
3. Certificate of registration 

4. Copy of partnership deed 

5. Authorized signatories list with specimen signatures

6. Proof Of Address 

7. Bank proof: Passbook, Latest bank statement, or canceled cheque of LLP.

8. Kyc pages of Individual KYC along with self-attested Photograph, Pancard, and Aadhaar card or any other address proof of all partners separately.

9. List of shareholding pattern

10. List of Partners/Directors

",,,,,,
What are the documents required to open a HUF account at Shoonya by Finvasia?,"Documents required to open a HUF account are:

1. Pan Card of HUF

2. Address proof in the name of HUF(Bank statement/Passbook/Utility bills)

3. Cancelled cheque or bank statement of HUF. 

4. Pan card of Karta.

5. Address Proof of Karta.  

6. Duly filled Trading & Demat form with photograph of Karta affixed, stamped and signed across.",,,,,,
How to open a HUF account at Shoonya?,"HUF accounts are opened offline. You can contact us through Live Chat, email us at contactus@shoonya.com or call us at Sales: +91 9098001001 if you wish to open a HUF account with us. Upon receiving the request, we will email the account opening form. Once you receive the form, you need to take a printout, fill it up, sign, and send it along with the required documents at the below address:
Finvasia Center, Plot no. D-179, Industrial Area, Sector 74, Sahibzada Ajit Singh Nagar, Punjab 160055
  
Was",,,,,,
Can an overseas corporate body i.e OCBs invest shares in the Indian market?,"No, OCBs cannot invest in the Indian markets. OCBs have been derecognized as investor class in India since September 16, 2003.
",,,,,,
